43;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=520,205,29,68;Haller-05_PT04_168 l 2 b 14; ※
44;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=559,205,20,68;+Haller-05_PT04_168 l 2 b 15;※
45;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=588,205,19,68;+Haller-05_PT04_168 l 2 b 16;※
46;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=620,205,21,68;+Haller-05_PT04_168 l 2 b 17;※
47;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=652,205,21,68;Haller-05_PT04_168 l 2 b 18; ※
48;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=687,205,47,68;Haller-05_PT04_168 l 2 b 19; ※
49;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=742,205,39,68;Haller-05_PT04_168 l 2 b 20; ※
50;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=789,205,44,68;Haller-05_PT04_168 l 2 b 21; ※
51;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=847,205,31,68;Haller-05_PT04_168 l 2 b 22; ※
52;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=891,205,30,68;Haller-05_PT04_168 l 2 b 23; ※
53;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=934,205,31,68;Haller-05_PT04_168 l 2 b 24; ※
54;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=977,205,28,68;Haller-05_PT04_168 l 2 b 25; ※
55;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1020,205,32,68;Haller-05_PT04_168 l 2 b 26; ※
56;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1061,205,29,68;Haller-05_PT04_168 l 2 b 27; ※
57;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1102,205,30,68;Haller-05_PT04_168 l 2 b 28; ※
58;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1145,205,13,68;Haller-05_PT04_168 l 2 b 29; ※
59;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1171,205,15,68;Haller-05_PT04_168 l 2 b 30; ※
60;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1197,205,28,68;Haller-05_PT04_168 l 2 b 31; ※
61;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1235,205,13,68;Haller-05_PT04_168 l 2 b 32; ※
62;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1261,205,26,68;Haller-05_PT04_168 l 2 b 33; ※
