F078;;K;"&klscapsup;";1;;;"B 31";4.9;"LATIN SMALL LETTER K WITH LATIN LETTER SMALL CAPITAL L ABOVE";;0;;"2023-04-30 12:04:30";https://mufi.info/q.php?p=mufi/chars/unichar/61560
F07C;;K;"&kusup;";1;;;"B 31";4.9;"LATIN SMALL LETTER K WITH LATIN SMALL LETTER U ABOVE";;0;;"2023-04-30 12:04:34";https://mufi.info/q.php?p=mufi/chars/unichar/61564
F07E;;K;"&kus;";1;;;"B 49";4.9;"LATIN SMALL LETTER K WITH US ABOVE";;0;;"2023-04-30 12:04:36";https://mufi.info/q.php?p=mufi/chars/unichar/61566
F084;;Þ;"&thonrer;";1;;;"B 31";4.9;"LATIN SMALL LETTER THORN WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:04:43";https://mufi.info/q.php?p=mufi/chars/unichar/61572
F085;;Þ;"&thornasup;";1;;;"B 31";4.9;"LATIN SMALL LETTER THORN WITH LATIN SMALL LETTER A ABOVE";;0;;"2023-04-30 12:04:49";https://mufi.info/q.php?p=mufi/chars/unichar/61573
F08B;;Þ;"&thornra;";1;;;"B 49";4.9;"LATIN SMALL LETTER THORN WITH FLATTENED OPEN A ABOVE";;0;;"2023-04-30 12:04:52";https://mufi.info/q.php?p=mufi/chars/unichar/61579
F08F;;Þ;"&thorntrotsup;";1;;;"B 31";4.9;"LATIN SMALL LETTER THORN WITH LATIN LETTER INSULAR T ABOVE";;0;;"2023-04-30 12:04:54";https://mufi.info/q.php?p=mufi/chars/unichar/61583
F093;;T;"&trotmacr;";1;;;"B 15";4.9;"LATIN SMALL LETTER INSULAR T WITH MACRON";;0;;"2023-04-30 12:04:56";https://mufi.info/q.php?p=mufi/chars/unichar/61587
F094;;T;"&trotdot;";1;;;"B 18";4.9;"LATIN SMALL LETTER INSULAR T WITH DOT ABOVE";;0;;"2023-04-30 12:04:59";https://mufi.info/q.php?p=mufi/chars/unichar/61588
F09C;;D;"&drotrscapdotsup;";1;;;"B 31";4.9;"LATIN SMALL LETTER D ROTUNDA WITH LATIN LETTER SMALL CAPITAL R WITH DOT ABOVE";;0;;"2023-04-30 12:05:01";https://mufi.info/q.php?p=mufi/chars/unichar/61596
F09D;;D;"&droter;";1;;;"B 49";4.9;"LATIN SMALL LETTER D ROTUNDA WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:05:02";https://mufi.info/q.php?p=mufi/chars/unichar/61597
F0A6;;D;"&drotra;";1;;;"B 49";4.9;"LATIN SMALL LETTER D ROTUNDA WITH FLATTENED OPEN A ABOVE";;0;;"2023-04-30 12:05:05";https://mufi.info/q.php?p=mufi/chars/unichar/61606
F0AC;;D;"&ethrscapdotsup;";1;;;"B 31";4.9;"LATIN SMALL LETTER ETH WITH LATIN LETTER SMALL CAPITAL R WITH DOT ABOVE";;0;;"2023-04-30 12:05:06";https://mufi.info/q.php?p=mufi/chars/unichar/61612
F0AF;;D;"&ether;";1;;;"B 49";4.9;"LATIN SMALL LETTER ETH WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:05:10";https://mufi.info/q.php?p=mufi/chars/unichar/61615
F0B7;;F;"&finsmacr;";1;;;"B 15";4.9;"LATIN SMALL LETTER INSULAR F WITH MACRON";;0;;"2023-04-30 12:05:11";https://mufi.info/q.php?p=mufi/chars/unichar/61623
F0B8;;F;"&fer;";1;;;"B 49";4.9;"LATIN SMALL LETTER F WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:05:15";https://mufi.info/q.php?p=mufi/chars/unichar/61624
F0B9;;K;"&ker;";1;;;"B 49";4.9;"LATIN SMALL LETTER K WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:05:17";https://mufi.info/q.php?p=mufi/chars/unichar/61625
F0BA;;L;"&ler;";1;;;"B 49";4.9;"LATIN SMALL LETTER L WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:05:20";https://mufi.info/q.php?p=mufi/chars/unichar/61626
F0BB;;L;"&lerfin;";1;;;"B 49";4.9;"LATIN SMALL LETTER L WITH WORD-FINAL ZIGZAG ABOVE";;0;;"2023-04-30 12:05:22";https://mufi.info/q.php?p=mufi/chars/unichar/61627
F0BC;;S;"&slonger;";1;;;"B 49";4.9;"LATIN SMALL LETTER LONG S WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:05:24";https://mufi.info/q.php?p=mufi/chars/unichar/61628
F0BE;;K;"&kra;";1;;;"B 49";4.9;"LATIN SMALL LETTER K WITH FLATTENED OPEN A ABOVE";;0;;"2023-04-30 12:05:28";https://mufi.info/q.php?p=mufi/chars/unichar/61630
F0BF;;K;"&kurlemn;";1;;;"B 49";4.9;"LATIN SMALL LETTER K WITH UR LEMNISKATE FORM ABOVE";;0;;"2023-04-30 12:05:34";https://mufi.info/q.php?p=mufi/chars/unichar/61631
F0C2;;E;"&eenlacute;";1;;;"B 3";4.9;"LATIN ENLARGED LETTER SMALL E WITH ACUTE";;0;;"2023-04-30 12:05:38";https://mufi.info/q.php?p=mufi/chars/unichar/61634
F0C3;;H;"&henlmacrmed;";1;;;"B 3";4.9;"LATIN ENLARGED LETTER SMALL H WITH MEDIUM-HIGH MACRON";;0;;"2023-04-30 12:05:40";https://mufi.info/q.php?p=mufi/chars/unichar/61635
F0C4;;G;"&Ginodotsup;";1;;;"B 31";4.9;"LATIN CAPITAL LETTER G WITH LATIN SMALL LETTER DOTLESS I ABOVE";;0;;"2023-04-30 12:05:42";https://mufi.info/q.php?p=mufi/chars/unichar/61636
F0C5;;V;"&Ver;";1;;;"B 49";4.9;"LATIN CAPITAL LETTER V WITH ZIGZAG ABOVE";;0;;"2023-04-30 12:05:44";https://mufi.info/q.php?p=mufi/chars/unichar/61637
F0C7;;O;"&oslashcurlacute;";1;;;"B 35";4.9;"LATIN SMALL LETTER O WITH CURL AND ACUTE = LATIN SMALL LETTER O SLASH + COMBINING OGONEK ABOVE + COMBINING ACUTE ACCENT";;0;;"2023-04-30 12:05:46";https://mufi.info/q.php?p=mufi/chars/unichar/61639
F0C8;;_combining;"&eracute;";1;;;"B 6";4.9;"COMBINING ZIGZAG AND ACUTE ABOVE";;0;;"2023-04-30 12:06:00";https://mufi.info/q.php?p=mufi/chars/unichar/61640
F0C9;;O;"&ocurlsup;";1;;;"B 7";4.9;"COMBINING LATIN SMALL LETTER O WITH CURL";;0;;"2023-04-30 12:06:11";https://mufi.info/q.php?p=mufi/chars/unichar/61641
F0CA;;A;"&aacutesup;";1;;;"B 7";4.9;"COMBINING LATIN SMALL LETTER A WITH ACUTE";;0;;"2023-04-30 12:06:12";https://mufi.info/q.php?p=mufi/chars/unichar/61642
F0CB;;A;"&aeligacutesup;";1;;;"B 7";4.9;"COMBINING LATIN SMALL LETTER AE WITH ACUTE";;0;;"2023-04-30 12:06:16";https://mufi.info/q.php?p=mufi/chars/unichar/61643
F0CC;;A;"&amacrsup;";1;;;"B 7";4.9;"COMBINING LATIN SMALL LETTER A WITH MACRON";;0;;"2023-04-30 12:06:20";https://mufi.info/q.php?p=mufi/chars/unichar/61644
F0CD;;E;"&eacutesup;";1;;;"B 7";4.9;"COMBINING LATIN SMALL LETTER E WITH ACUTE";;0;;"2023-04-30 12:06:22";https://mufi.info/q.php?p=mufi/chars/unichar/61645
F0CE;;_combining;"&erhigh;";1;;;"B 6";4.x;"COMBINING ZIGZAG ABOVE HIGH POSITION";;0;"The combining characters in a high position offer an intermediate solution for the positioning above tall letters. They should be deprecated when smart font software allows correct positioning of combining characters above all letters, irrespective of height or width.      This is to be used over capitals and other tall characters.&nbsp;   ";"2023-05-12 15:42:51";https://mufi.info/q.php?p=mufi/chars/unichar/61646
F0CF;;R;"&rscapdotsup;";1;;;"B 7";4.9;"COMBINING LATIN LETTER SMALL CAPITAL R WITH DOT ABOVE";;0;;"2023-04-30 12:06:25";https://mufi.info/q.php?p=mufi/chars/unichar/61647
F0D8;;D;"&ethmacr;";1;;;"B 15";4.9;"LATIN SMALL LETTER ETH WITH MACRON";;0;;"2023-04-30 12:06:30";https://mufi.info/q.php?p=mufi/chars/unichar/61656
F0D9;;D;"&ethtrotsup;";1;;;"B 31";4.9;"LATIN SMALL LETTER ETH WITH LATIN LETTER INSULAR T ABOVE";;0;;"2023-04-30 12:06:31";https://mufi.info/q.php?p=mufi/chars/unichar/61657
F0DA;;H;"&htrotsup;";1;;;"B 31";4.9;"LATIN SMALL LETTER H WITH LATIN LETTER INSULAR T ABOVE";;0;;"2023-04-30 12:06:36";https://mufi.info/q.php?p=mufi/chars/unichar/61658
F0DC;;D;"&drotvlig;";1;;;"B 1";4.9;"LATIN SMALL LIGATURE D ROTUNDA V";;0;;"2023-04-30 12:06:44";https://mufi.info/q.php?p=mufi/chars/unichar/61660
F0DD;;G;"&gvlig;";1;;;"B 1";4.9;"LATIN SMALL LIGATURE G V";;0;"There is a similar-looking ligature in Andron Scriptor at EAD3, , but the loop of the ‘g’ in this is not closed.";"2023-05-12 15:42:19";https://mufi.info/q.php?p=mufi/chars/unichar/61661
F0DE;;D;"&drotvligmacr;";1;;;"B 15";4.9;"LATIN SMALL LIGATURE D ROTUNDA V WITH MACRON";;0;;"2023-04-30 12:06:50";https://mufi.info/q.php?p=mufi/chars/unichar/61662
F0DF;;A;"&avligmacr;";1;;;"B 15";4.9;"LATIN SMALL LIGATURE A V WITH MACRON";;0;;"2023-04-30 12:06:56";https://mufi.info/q.php?p=mufi/chars/unichar/61663
F0E9;;D;"&ethrotvlig;";1;;;"B 1";4.9;"LATIN SMALL LIGATURE ETH V";;0;;"2023-08-18 14:20:07";https://mufi.info/q.php?p=mufi/chars/unichar/61673
F0EA;;Þ;"&thornvlig;";1;;;"B 1";4.9;"LATIN SMALL LIGATURE THORN V";;0;;"2023-04-30 12:07:02";https://mufi.info/q.php?p=mufi/chars/unichar/61674
F0EB;;N;"&nvlig;";1;;;"B 1";4.9;"LATIN SMALL LIGATURE N V";;0;;"2023-04-30 12:07:04";https://mufi.info/q.php?p=mufi/chars/unichar/61675
F0EC;;A;"&aenlvlig;";1;;;"B 1";4.9;"LATIN LIGATURE ENLARGED LETTER SMALL A AND LATIN SMALL LETTER V";;0;;"2023-04-30 12:07:06";https://mufi.info/q.php?p=mufi/chars/unichar/61676
F0F8;;N;"&nvmacrlig;";1;;;"B 15";4.9;"LATIN SMALL LIGATURE N V WITH MACRON";;0;;"2023-04-30 12:07:10";https://mufi.info/q.php?p=mufi/chars/unichar/61688
F0F9;;A;"&amacrnscaplig;";1;;;"B 15";4.9;"LATIN LIGATURE SMALL LETTER A WITH MACRON AND SMALL CAPITAL N";;0;;"2023-04-30 12:07:14";https://mufi.info/q.php?p=mufi/chars/unichar/61689
F0FA;;A;"&aacutevlig;";1;;;"B 16";4.9;"LATIN SMALL LIGATURE AV WITH ACUTE = LATIN SMALL LIGATURE AV + COMBINING ACUTE ACCENT";;0;"The distinction between the two characters above are not fully taken care of by using the COMBINING ACUTE ACCENT. The first of the two characters has the accent positioned centrally above, while the second has it firmly above the first part of the ligature. This difference is reflected in the character en- tities and the differnt codepoints.";"2023-04-30 12:07:16";https://mufi.info/q.php?p=mufi/chars/unichar/61690
F0FB;;A;"&aenlvmacrlig;";1;;;"B 15";4.9;"LATIN LIGATURE ENLARGED LETTER SMALL A AND LATIN SMALL LETTER V WITH MACRON";;0;;"2023-04-30 12:07:26";https://mufi.info/q.php?p=mufi/chars/unichar/61691
F0FC;;A;"&avmacrlig;";1;;;"B 15";4.9;"LATIN LIGATURE SMALL LETTER A AND LATIN LETTER V WITH MACRON";;0;;"2023-04-30 12:07:32";https://mufi.info/q.php?p=mufi/chars/unichar/61692
F0FD;;A;"&aacutevmacrlig;";1;;;"B 47";4.9;"LATIN SMALL LIGATURE A WITH ACUTE AND LATIN SMALL LETTER V WITH MACRON";;0;"The position of the two diacritcal marks is not fully taken care of by the decomposed encoding, using the COMBINING ACUTE (0301) and COMBINING MACRON (0304). The acute is located above the first part of the ligature, while the macron is located above the second part; they are not positioned on top of each other, like in the other glyphs in this subrange. This is reflected in the character entity, which is &aacutevmacrlig; and not &aeligmacracute;.";"2023-04-30 12:07:45";https://mufi.info/q.php?p=mufi/chars/unichar/61693
F4F8;;S;"&slonglslashlig;";1;;;"B 1";4.x;"LATIN SMALL LIGATURE LONG S L WITH DIAGONAL STROKE";;0;;"2023-04-30 12:07:42";https://mufi.info/q.php?p=mufi/chars/unichar/62712
